,Date,Folder,File Name,Rows,Columns
0,201601.csv,data/,201601.csv,2847924,29
1,201602.csv,data/,201602.csv,2570543,29
2,201603.csv,data/,201603.csv,3157072,29
3,201604.csv,data/,201604.csv,3096313,29
4,201605.csv,data/,201605.csv,3444249,29
5,201606.csv,data/,201606.csv,3574989,35
6,201607.csv,data/,201607.csv,4265031,29
7,201608.csv,data/,201608.csv,4103570,29
8,201609.csv,data/,201609.csv,3733786,29
9,201610.csv,data/,201610.csv,3649136,29
10,201611.csv,data/,201611.csv,2914926,29
11,201612.csv,data/,201612.csv,3432990,29
